tmdbId,person_id,name,character,order
122,1371,David Wenham,Faramir,8
122,502,Miranda Otto,Éowyn,9
85,3,Harrison Ford,Indiana Jones,0
85,650,Karen Allen,Marion Ravenwood,1
85,652,Paul Freeman,Dr. René Belloq,2
85,655,John Rhys-Davies,Sallah,3
85,653,Ronald Lacey,Major Arnold Toht,4
85,659,Wolf Kahler,Colonel Dietrich,5
85,660,Anthony Higgins,Gobler,6
85,656,Denholm Elliott,Dr. Marcus Brody,7
85,658,Alfred Molina,Satipo,8
85,661,Vic Tablian,Barranca / Monkey Man,9
238,3084,Marlon Brando,Don Vito Corleone,0
238,1158,Al Pacino,Michael Corleone,1
238,3085,James Caan,Sonny Corleone,2
238,3087,Robert Duvall,Tom Hagen,3
238,3086,Richard S. Castellano,Clemenza,4
238,3092,Diane Keaton,Kay Adams,5
238,3094,Talia Shire,Connie Corleone Rizzi,6
238,3095,Gianni Russo,Carlo Rizzi,7
238,3088,Sterling Hayden,Captain McCluskey,8
238,3142,John Marley,Jack Woltz,9
14,1979,Kevin Spacey,Lester Burnham,0
14,516,Annette Bening,Carolyn Burnham,1
14,2155,Thora Birch,Jane Burnham,2
14,8210,Wes Bentley,Ricky Fitts,3
14,8211,Mena Suvari,Angela Hayes,4
14,8212,Peter Gallagher,Buddy Kane,5
14,19,Allison Janney,Barbara Fitts,6
14,2955,Chris Cooper,Colonel Fitts,7
14,2154,Scott Bakula,Jim Olmeyer,8
14,8213,Sam Robards,Jim Berkley,9
807,192,Morgan Freeman,Somerset,0
807,287,Brad Pitt,Mills,1
807,12052,Gwyneth Paltrow,Tracy,2
807,12055,John Cassini,Officer Davis,3
807,30487,Peter Crombie,Dr. O'Neill,4
807,38951,Reg E. Cathey,Dr. Santiago,5
807,8655,R. Lee Ermey,Police Captain,6
807,12054,Daniel Zacapa,Detective Taylor at First Murder,7
807,12047,Andrew Kevin Walker,Dead Man at 1st Crime Scene,8
807,1583695,George Christy,Workman at Door of Somerset's Office,9
105,521,Michael J. Fox,Marty McFly,0
105,1062,Christopher Lloyd,Emmett Brown,1
105,1064,Crispin Glover,George McFly,2
105,1063,Lea Thompson,Lorraine Baines,3
105,1066,Claudia Wells,Jennifer Parker,4
105,1065,Thomas F. Wilson,Biff Tannen,5
105,1067,Marc McClure,Dave McFly,6
105,1068,Wendie Jo Sperber,Linda McFly,7
105,1069,George DiCenzo,Sam Baines,8
105,1070,Frances Lee McCain,Stella Baines,9
155,3894,Christian Bale,Bruce Wayne,0
155,1810,Heath Ledger,Joker,1
155,6383,Aaron Eckhart,Harvey Dent,2
155,3895,Michael Caine,Alfred,3
155,1579,Maggie Gyllenhaal,Rachel,4
155,64,Gary Oldman,Gordon,5
155,192,Morgan Freeman,Lucius Fox,6
155,53651,Monique Gabriela Curnen,Ramirez,7
155,57597,Ron Dean,Wuertz,8
155,2037,Cillian Murphy,Scarecrow,9
857,31,Tom Hanks,Captain Miller,0
857,3197,Tom Sizemore,Sergeant Horvath,1
857,12833,Edward Burns,Private Reiben,2
857,12834,Barry Pepper,Private Jackson,3
857,6163,Adam Goldberg,Private Mellish,4
857,12835,Vin Diesel,Private Caparzo,5
857,1771,Giovanni Ribisi,T/4 Medic Wade,6
857,4654,Jeremy Davies,Corporal Upham,7
857,1892,Matt Damon,Private Ryan,8
857,12836,Ted Danson,Captain Hamill,9
275,3910,Frances McDormand,Marge Gunderson,0
275,3905,William H. Macy,Jerry Lundegaard,1
275,884,Steve Buscemi,Carl Showalter,2
275,53,Peter Stormare,Gaear Grimsrud,3
275,3907,Harve Presnell,Wade Gustafson,4
275,3911,John Carroll Lynch,Norm Gunderson,5
275,3906,Kristin Rudrüd,Jean Lundegaard,6
275,155861,Bruce Bohne,Lou,7
275,4024,Steve Reevis,Shep Proudfoot,8
275,4025,Steve Park,Mike Yanagita,9
27205,6193,Leonardo DiCaprio,Dom Cobb,0
27205,24045,Joseph Gordon-Levitt,Arthur,1
27205,3899,Ken Watanabe,Saito,2
27205,2524,Tom Hardy,Eames,3
27205,27578,Elliot Page,Ariadne,4
27205,95697,Dileep Rao,Yusuf,5
27205,2037,Cillian Murphy,"Robert Fischer, Jr.",6
27205,13022,Tom Berenger,Peter Browning,7
27205,8293,Marion Cotillard,Mal Cobb,8
