tmdbId,person_id,name,job
90,769,Martin Brest,Director
676,865,Michael Bay,Director
8487,5174,Barry Sonnenfeld,Director
1541,578,Ridley Scott,Director
11072,14639,Mel Brooks,Director
9361,638,Michael Mann,Director
11778,12114,Michael Cimino,Director
6415,17883,David O. Russell,Director
239,3146,Billy Wilder,Director
11860,2226,Sydney Pollack,Director
45612,81850,Duncan Jones,Director
82693,17883,David O. Russell,Director
8392,608,Hayao Miyazaki,Director
10057,18356,Stephen Herek,Director
10625,54050,Mark Waters,Director
1734,7775,Stephen Sommers,Director
7299,13927,Kurt Wimmer,Director
8078,2419,Jean-Pierre Jeunet,Director
1903,11649,Cameron Crowe,Director
903,13859,Stuart Rosenberg,Director
8656,51984,Mimi Leder,Director
651,9789,Robert Altman,Director
8699,55710,Adam McKay,Director
1858,865,Michael Bay,Director
9366,10723,Mike Newell,Director
163,1884,Steven Soderbergh,Director
8469,4610,John Landis,Director
913,1090,John McTiernan,Director
8009,52968,Russell Mulcahy,Director
284053,55934,Taika Waititi,Director
2322,23968,Phil Alden Robinson,Director
9388,52443,Jason Reitman,Director
5925,14520,John Sturges,Director
242582,57113,Dan Gilroy,Director
1878,280,Terry Gilliam,Director
591,6159,Ron Howard,Director
11862,56106,Charles Shyer,Director
9665,9181,Edward Zwick,Director
127585,9032,Bryan Singer,Director
2770,7409,J.B. Rogers,Director
15602,26502,Howard Deutch,Director
283995,15218,James Gunn,Director
846,12523,Rob Bowman,Director
245891,40644,Chad Stahelski,Director
1578,1032,Martin Scorsese,Director
11310,66548,Paul Weiland,Director
245,3288,Chris Weitz,Director
245,3289,Paul Weitz,Director
402,10491,Paul Verhoeven,Director
9426,224,David Cronenberg,Director
872,13284,Stanley Donen,Director
872,13294,Gene Kelly,Director
8374,54795,Troy Duffy,Director
11780,30365,Michael Caton-Jones,Director
2300,23677,Joe Pytka,Director
7453,52842,Garth Jennings,Director
1830,8685,Andrew Niccol,Director
8916,18863,Eric Darnell,Director
8916,52870,Tim Johnson,Director
8984,8246,Barry Levinson,Director
13785,13524,Christopher Guest,Director
176,2127,James Wan,Director
1645,5572,Joel Schumacher,Director
1592,17812,Gregory Hoblit,Director
2133,5231,Wolfgang Petersen,Director
10442,15106,Thomas Schlamme,Director
263115,366,James Mangold,Director
68721,1108,Shane Black,Director
11386,17016,Neil Jordan,Director
6520,3415,Jerry Zucker,Director
2320,2523,Stuart Baird,Director
11381,13426,Peter Segal,Director
9799,18878,Rob Cohen,Director
58574,956,Guy Ritchie,Director
397,8844,Lawrence Kasdan,Director
2640,7145,Michael Lehmann,Director
2619,6159,Ron Howard,Director
1949,7467,David Fincher,Director
35,197,David Silverman,Director
2059,12962,Jon Turteltaub,Director
330459,129894,Gareth Edwards,Director
10545,62048,Kirk Wise,Director
10545,62047,Gary Trousdale,Director
34584,5231,Wolfgang Petersen,Director
2123,7396,Peter Farrelly,Director
2123,7395,Bobby Farrelly,Director
10340,11429,Hamilton Luske,Director
10340,64864,Clyde Geronimi,Director
10340,11434,Wilfred Jackson,Director
869,510,Tim Burton,Director
284052,55499,Scott Derrickson,Director
350,5065,David Frankel,Director
10386,7087,Brad Bird,Director
1574,17633,Rob Marshall,Director
9281,2690,Peter Weir,Director
242,1776,Francis Ford Coppola,Director
33542,44916,Stanley Tong Gwai-Lai,Director
65754,7467,David Fincher,Director
793,5602,David Lynch,Director
582,8193,Florian Henckel von Donnersmarck,Director
9312,4014,Paul W. S. Anderson,Director
11036,11151,Nick Cassavetes,Director
4553,37948,Brad Anderson,Director
57158,108,Peter Jackson,Director
1487,10828,Guillermo del Toro,Director
454,6201,Baz Luhrmann,Director
83666,5655,Wes Anderson,Director
1621,4610,John Landis,Director
99861,12891,Joss Whedon,Director
9325,57314,Wolfgang Reitherman,Director
18183,22767,Alfonso Arau,Director
1700,3026,Rob Reiner,Director
11934,1223,Joel Coen,Director
11934,1224,Ethan Coen,Director
87827,1614,Ang Lee,Director
97,12859,Steven Lisberger,Director
10637,52358,Boaz Yakin,Director
68734,880,Ben Affleck,Director
236,3045,P.J. Hogan,Director
2567,1032,Martin Scorsese,Director
281957,223,Alejandro G. Iñárritu,Director
1262,12995,Marc Forster,Director
164,1927,Blake Edwards,Director
157,1749,Leonard Nimoy,Director
299534,19271,Anthony Russo,Director
299534,19272,Joe Russo,Director
8874,3045,P.J. Hogan,Director
9659,20629,George Miller,Director
9032,17494,Dennis Dugan,Director
174,1788,Nicholas Meyer,Director
920,7879,John Lasseter,Director
488,6593,John Huston,Director
415,5572,Joel Schumacher,Director
419430,291263,Jordan Peele,Director
8810,20629,George Miller,Director
8195,13776,John Frankenheimer,Director
496243,21684,Bong Joon Ho,Director
11010,28898,Michael Radford,Director
475557,57130,Todd Phillips,Director
2787,28239,David Twohy,Director
149,185,Katsuhiro Otomo,Director
11543,7395,Bobby Farrelly,Director
11543,7396,Peter Farrelly,Director
4147,39,Sam Mendes,Director
186,2291,Paul McGuigan,Director
10328,6159,Ron Howard,Director
388,5281,Spike Lee,Director
331,4945,Joe Johnston,Director
473,6431,Darren Aronofsky,Director
8987,323,Curtis Hanson,Director
1945,10781,Michael Apted,Director
8834,7187,Richard Donner,Director
11287,14911,Penny Marshall,Director
1885,16513,John G. Avildsen,Director
38757,76595,Byron Howard,Director
38757,121830,Nathan Greno,Director
11472,10965,Chris Columbus,Director
69,366,James Mangold,Director
9740,578,Ridley Scott,Director
879,488,Steven Spielberg,Director
11688,61411,Mark Dindal,Director
2636,26648,Luis Llosa,Director
4543,10707,Terry Jones,Director
12162,14392,Kathryn Bigelow,Director
586,8246,Barry Levinson,Director
273248,138,Quentin Tarantino,Director
559,7623,Sam Raimi,Director
1995,12786,Simon West,Director
609,10051,Tobe Hooper,Director
10719,15277,Jon Favreau,Director
561,10943,Francis Lawrence,Director
6114,1776,Francis Ford Coppola,Director
10539,57646,Henry Selick,Director
