tmdbId,review_count,pct_positive,avg_sentiment_score
813,4,0.75,0.998577892780304
814,4,1.0,0.9987878948450089
816,2,0.0,0.9969821870326996
817,3,0.3333333333333333,0.9992027878761292
818,3,0.3333333333333333,0.9993021289507548
819,4,1.0,0.9987928718328476
820,2,0.5,0.9989401996135712
824,3,1.0,0.9923949639002482
826,1,1.0,0.9989138841629028
828,4,1.0,0.9988840818405151
829,3,1.0,0.9988891084988912
830,4,1.0,0.9977100193500519
832,5,0.6,0.9987477540969849
834,3,1.0,0.9987058043479919
838,1,1.0,0.9985985159873962
840,2,1.0,0.9987147152423859
841,3,0.3333333333333333,0.9990823666254679
843,1,1.0,0.9989244341850281
845,2,1.0,0.9986467957496643
846,1,1.0,0.9980151653289795
847,3,0.6666666666666666,0.9990545908610026
850,3,0.6666666666666666,0.996742049853007
853,1,1.0,0.9988347887992859
854,3,0.6666666666666666,0.9927197893460592
857,7,0.8571428571428571,0.9984213624681745
858,3,0.3333333333333333,0.9988207817077637
859,1,1.0,0.9989355206489563
860,3,0.6666666666666666,0.9716913104057312
861,5,1.0,0.998868727684021
862,5,1.0,0.998897933959961
863,4,1.0,0.9988773018121719
865,3,1.0,0.9970072507858276
866,2,1.0,0.998905599117279
867,2,0.0,0.996636837720871
869,3,0.3333333333333333,0.9977392156918844
871,7,1.0,0.9988307867731366
872,4,0.75,0.9990657418966293
873,2,1.0,0.9988599419593811
879,3,1.0,0.9988228678703308
881,5,1.0,0.9973143219947815
888,1,1.0,0.9988629817962646
891,2,1.0,0.9987475872039795
892,2,0.5,0.9978474080562592
900,4,1.0,0.9988742619752884
901,1,1.0,0.9988105297088623
902,2,1.0,0.9965636134147644
903,2,1.0,0.9988032877445221
907,1,1.0,0.9989162683486938
910,4,1.0,0.9972997158765793
913,2,0.5,0.9992184340953827
914,2,1.0,0.9978258609771729
920,4,1.0,0.9988446086645126
921,3,1.0,0.996908982594808
922,1,1.0,0.9987902045249939
923,4,0.75,0.999020054936409
924,4,1.0,0.9989028424024582
925,2,0.5,0.9977975785732269
926,3,1.0,0.9988651474316915
927,5,0.8,0.9989689469337464
928,3,0.6666666666666666,0.9987276395161947
929,4,0.75,0.9943070262670517
935,5,1.0,0.9987727046012879
938,6,0.8333333333333334,0.9987368881702423
941,5,1.0,0.9989072203636169
942,4,0.75,0.9990224838256836
943,3,1.0,0.9987449645996094
944,1,1.0,0.9985561966896057
947,4,1.0,0.9989079236984253
948,7,0.8571428571428571,0.9974564995084491
949,9,1.0,0.9988133112589518
950,2,0.5,0.8774486184120178
951,5,0.8,0.9989854335784912
953,2,1.0,0.9988755881786346
954,6,0.8333333333333334,0.9984189569950104
