tmdbId,person_id,name,job
320288,11092,Simon Kinberg,Director
166428,69797,Dean DeBlois,Director
507086,930707,Colin Trevorrow,Director
381283,6431,Darren Aronofsky,Director
188927,58189,Justin Lin,Director
436270,59521,Jaume Collet-Serra,Director
661374,67367,Rian Johnson,Director
337401,15287,Niki Caro,Director
335787,91268,Ruben Fleischer,Director
262504,57270,Robert Schwentke,Director
328387,142272,Henry Joost,Director
328387,142276,Ariel Schulman,Director
334543,1173102,Garth Davis,Director
460465,1828590,Simon McQuoid,Director
331482,45400,Greta Gerwig,Director
1022789,182001,Kelsey Mann,Director
334533,11154,Matt Ross,Director
43074,116805,Paul Feig,Director
373571,11012,Michael Dougherty,Director
335988,865,Michael Bay,Director
241259,26205,James Bobin,Director
522627,956,Guy Ritchie,Director
424783,1033661,Travis Knight,Director
497582,173847,Harry Bradbeer,Director
390043,143059,Patrick Hughes,Director
545609,1120883,Sam Hargrave,Director
207932,6159,Ron Howard,Director
341013,40684,David Leitch,Director
140300,142312,Jennifer Yuh Nelson,Director
140300,1262481,Alessandro Carloni,Director
624860,9340,Lana Wachowski,Director
423108,1607672,Michael Chaves,Director
508439,225976,Dan Scanlon,Director
440021,54248,Christopher Landon,Director
593643,57199,Mark Mylod,Director
512195,57633,Rawson Marshall Thurber,Director
258489,11343,David Yates,Director
420809,20307,Joachim Rønning,Director
47933,6046,Roland Emmerich,Director
1184918,66193,Chris Sanders,Director
260514,1443386,Brian Fee,Director
334541,30711,Kenneth Lonergan,Director
406990,76927,Tommy Wirkola,Director
333484,20907,Antoine Fuqua,Director
385687,18865,Louis Leterrier,Director
302699,57633,Rawson Marshall Thurber,Director
445571,52935,John Francis Daley,Director
445571,1236679,Jonathan Goldstein,Director
401981,10943,Francis Lawrence,Director
933260,1607016,Coralie Fargeat,Director
570670,2128,Leigh Whannell,Director
338967,91268,Ruben Fleischer,Director
324668,25598,Paul Greengrass,Director
449176,88967,Greg Berlanti,Director
451048,59521,Jaume Collet-Serra,Director
637649,956,Guy Ritchie,Director
389015,50767,Craig Gillespie,Director
274857,956,Guy Ritchie,Director
346685,55789,Tate Taylor,Director
345887,20907,Antoine Fuqua,Director
299687,111588,J Blakeson,Director
396422,1302082,David F. Sandberg,Director
640146,59026,Peyton Reed,Director
400106,19769,David Ayer,Director
756999,55499,Scott Derrickson,Director
400928,87742,Marc Webb,Director
375262,122423,Yorgos Lanthimos,Director
508947,2009739,Domee Shi,Director
675353,93364,Jeff Fowler,Director
527641,88675,Justin Baldoni,Director
395834,1215399,Taylor Sheridan,Director
480530,1551545,Steven Caple Jr.,Director
567609,66681,Matt Bettinelli-Olpin,Director
567609,1039527,Tyler Gillett,Director
290859,55252,Tim Miller,Director
559969,66633,Vince Gilligan,Director
369972,136495,Damien Chazelle,Director
503919,138781,Robert Eggers,Director
792307,122423,Yorgos Lanthimos,Director
308266,57130,Todd Phillips,Director
311324,607,Zhang Yimou,Director
353491,74752,Nikolaj Arcel,Director
399404,36588,Joe Wright,Director
345920,5065,David Frankel,Director
316727,53120,James DeMonaco,Director
453405,1614,Ang Lee,Director
1339713,2381985,Curry Barker,Director
324849,144816,Chris McKay,Director
473033,227564,Benny Safdie,Director
473033,129561,Josh Safdie,Director
399174,5655,Wes Anderson,Director
976573,21198,Peter Sohn,Director
524047,76422,Ric Roman Waugh,Director
310307,54040,John Lee Hancock,Director
613504,11873,Roger Kumble,Director
479455,37932,F. Gary Gray,Director
268896,1213074,Steven S. DeKnight,Director
343611,9181,Edward Zwick,Director
504172,190,Clint Eastwood,Director
1061474,15218,James Gunn,Director
447200,57633,Rawson Marshall Thurber,Director
332567,59521,Jaume Collet-Serra,Director
667538,1551545,Steven Caple Jr.,Director
575264,9033,Christopher McQuarrie,Director
338762,1773871,David S. F. Wilson,Director
428078,1419579,Christian Rivers,Director
274855,8676,Dean Devlin,Director
425909,52443,Jason Reitman,Director
509967,865,Michael Bay,Director
639933,138781,Robert Eggers,Director
346910,1108,Shane Black,Director
298618,1113116,Andy Muschietti,Director
338953,11343,David Yates,Director
500664,2128,Leigh Whannell,Director
476669,957,Matthew Vaughn,Director
267860,132239,Babak Najafi,Director
786892,20629,George Miller,Director
507089,2103746,Emma Tammi,Director
583083,1066705,Vince Marcello,Director
762504,291263,Jordan Peele,Director
1233413,1056121,Ryan Coogler,Director
522681,1306608,Adam Robitel,Director
424139,64141,David Gordon Green,Director
696806,17825,Shawn Levy,Director
411088,1051305,Oriol Paulo,Director
290595,1454884,Cedric Nicolas-Troyan,Director
337170,11694,Doug Liman,Director
504608,974,Dexter Fletcher,Director
501170,551463,Mike Flanagan,Director
296524,36602,Peter Berg,Director
631843,11614,M. Night Shyamalan,Director
446354,488,Steven Spielberg,Director
536554,1288796,Gerard Johnstone,Director
338766,3055,David Mackenzie,Director
526896,125738,Daniel Espinosa,Director
278154,229962,Michael Thurmeier,Director
547016,71947,Gina Prince-Bythewood,Director
376570,551463,Mike Flanagan,Director
493529,52935,John Francis Daley,Director
493529,1236679,Jonathan Goldstein,Director
49046,221522,Edward Berger,Director
514999,1254001,Kyle Newacheck,Director
438695,52842,Garth Jennings,Director
785084,6431,Darren Aronofsky,Director
369885,24,Robert Zemeckis,Director
397243,135113,André Øvredal,Director
945961,932248,Fede Álvarez,Director
985939,90812,Scott Mann,Director
823464,98631,Adam Wingard,Director
508965,124749,Sergio Pablos,Director
400155,185438,Genndy Tartakovsky,Director
302401,1152,Oliver Stone,Director
399035,59521,Jaume Collet-Serra,Director
558449,578,Ridley Scott,Director
305470,1099862,Dean Israelite,Director
484247,116805,Paul Feig,Director
325133,52934,Nicholas Stoller,Director
378064,1072778,Naoko Yamada,Director
381341,225160,Paolo Genovese,Director
635302,1283010,Haruo Sotozaki,Director
291870,6733,Dan Mazer,Director
911430,86270,Joseph Kosinski,Director
339988,930710,James Ponsoldt,Director
387426,21684,Bong Joon Ho,Director
637920,230767,Mehmet Ada Öztekin,Director
590223,1851294,Michael Matthews,Director
399057,122423,Yorgos Lanthimos,Director
329996,510,Tim Burton,Director
537996,1223,Joel Coen,Director
537996,1224,Ethan Coen,Director
929590,2036,Alex Garland,Director
787699,101666,Paul King,Director
503736,15217,Zack Snyder,Director
866398,19769,David Ayer,Director
912649,940376,Kelly Marcel,Director
360920,61300,Yarrow Cheney,Director
360920,20503,Scott Mosier,Director
290098,10099,Park Chan-wook,Director
356305,17871,John Hamburg,Director
588228,144816,Chris McKay,Director
725201,19272,Joe Russo,Director
725201,19271,Anthony Russo,Director
653346,1179066,Wes Ball,Director
205584,21085,Alex Proyas,Director
489999,1932296,Aneesh Chaganty,Director
515195,2034,Danny Boyle,Director
505026,11181,Kenneth Branagh,Director
936075,20907,Antoine Fuqua,Director
335977,366,James Mangold,Director
522938,589402,Adrian Grünberg,Director
466420,1032,Martin Scorsese,Director
83533,2710,James Cameron,Director
376660,983909,Kelly Fremon Craig,Director
376659,52115,Scott Moore,Director
376659,52114,Jon Lucas,Director
442249,1709468,Gerard McMurray,Director
340837,1704,Gore Verbinski,Director
379686,72024,Malcolm D. Lee,Director
460019,55075,Jeff Wadlow,Director
569547,27571,David Slade,Director
882598,2218465,Parker Finn,Director
1054867,4762,Paul Thomas Anderson,Director
529203,1450348,Joel Crawford,Director
345911,1302082,David F. Sandberg,Director
301337,13235,Alexander Payne,Director
522402,114404,Miguel Sapochnik,Director
950396,55499,Scott Derrickson,Director
1010581,1739102,Domingo González,Director
400535,932533,Stefano Sollima,Director
426426,11218,Alfonso Cuarón,Director
351460,98631,Adam Wingard,Director
438148,8023,Kyle Balda,Director
670292,129894,Gareth Edwards,Director
153518,1281387,Clay Kaytis,Director
153518,52701,Fergal Reilly,Director
760104,101542,Ti West,Director
752623,931525,Aaron Nee,Director
752623,174313,Adam Nee,Director
396371,13520,Aaron Sorkin,Director
615656,137467,Ben Wheatley,Director
270487,1223,Joel Coen,Director
270487,1224,Ethan Coen,Director
300671,865,Michael Bay,Director
298250,56501,Michael Spierig,Director
298250,56502,Peter Spierig,Director
986056,836732,Jake Schreier,Director
455207,54507,Jon M. Chu,Director
746036,40684,David Leitch,Director
884605,84416,Gene Stupnitsky,Director
343674,551463,Mike Flanagan,Director
321258,62768,William Brent Bell,Director
346672,402272,Anna Foerster,Director
576845,11090,Edgar Wright,Director
301365,21183,Nicolas Winding Refn,Director
